Que es el diseño?	-Es el <b>proceso</b> de definir:<br>+Arquiectura<br>+Componentes<br>+Interfases<br>+Otras caracteristicas de sistema/componente<br>-Y el <b>resultado</b> de ese proceso.
Como se representan las propiedades derivadas y qeu son ¿?	"Se representan con un ""/"" y se calculaen en base a otros artibutos."
Como se representan las restricciones?	"Se representan con ""{}"""
Se necesitan representar las diferentes entidades y sus relaciones, como productos, clientes, carritos de compra y pedidos. El objetivo es la comprensión de la estructura general del sistema y la identificación de las responsabilidades de cada entidad.	Diagrama de Clase
Se quiere mostrar la interacción entre diferentes objetos y componentes durante el proceso de inicio de sesión, registro y asignación de roles/permisos. Esto permitiría a los desarrolladores entender el flujo de información y eventos en el sistema.	Diagrama de secuencia.
Se quiere representar los diferentes pasos y decisiones involucradas en un proceso empresarial, como la aprobación de una factura o la contratación de un empleado. Esto ayudaría a los stakeholders a visualizar y optimizar el flujo de trabajo.	Diagrama de actividad.
Se necesita visualizar los módulos y sus dependencias en la aplicación, como la interfaz de usuario, lógica de negocio y servicios de datos. Esto facilitaría la comprensión de la arquitectura general y la gestión de dependencias.	Diagrama de paquetes/Componentes?
Se requiere describir la estructura y las interacciones entre los componentes del CMS, como el editor de texto, el gestor de archivos y el motor de plantillas. Esto ayudaría a los desarrolladores a comprender las responsabilidades y dependencias de cada componente	Diagrama de componentes
Se requiere representar la infraestructura en la que se implementan los microservicios, incluyendo servidores, contenedores y bases de datos. Esto proporcionaría una visión clara de cómo los componentes del sistema se distribuyen y comunican entre sí.	Diagrama de deploy
Se requiere mostrar cómo los diferentes componentes del sistema interactúan para detectar, evaluar y notificar eventos de alerta. Esto permitiría a los desarrolladores comprender el flujo de información y la lógica de procesamiento de eventos en el sistema.	Diagrama de secuencia?
Se requiere representar las entidades involucradas en el juego, como jugadores, personajes, objetos y enemigos. Además, un Diagrama de Secuencia podría ser utilizado para mostrar cómo las interacciones entre jugadores y objetos del juego ocurren en tiempo real. Estos diagramas ayudarían a los desarrolladores a entender la lógica del juego y a diseñar sus componentes de manera eficiente.	Diagrama de clases
Sistema operativo: Entidad lógica que administra los recursos de hardware y software de una computadora, y proporciona servicios a las aplicaciones. Incluye tanto hardware como software y tiene un conjunto de responsabilidades y objetivos. (Guiño guiño)	Sistema
Navegador web: Aplicación de software que permite a los usuarios acceder, recuperar y visualizar documentos y otros recursos en la web. Consiste en software y tiene un conjunto de responsabilidades y objetivos.	Sistema
Microservicio de pago: Es una parte de un sistema de comercio electrónico más grande que maneja las transacciones y la lógica de pago. Tiene una interfaz definida para interactuar con otros subsistemas y es parte de un sistema mayor.	Subsistema
Compilador: Herramienta de software que traduce el código fuente escrito en un lenguaje de programación a otro lenguaje, generalmente código de máquina o lenguaje intermedio. Tiene un rol claro y puede ser reemplazado por otro compilador que tenga funcionalidad equivalente.	Componente
Biblioteca de criptografía: Conjunto de funciones y algoritmos de cifrado y descifrado que pueden ser utilizados por otros programas. Está definido a nivel de lenguaje de programación y puede ser importado e integrado en diferentes aplicaciones.	Modulo
Controlador de dispositivo: Es un software que permite que el sistema operativo y otros programas interactúen con el hardware específico. Tiene un rol claro y puede ser reemplazado por otro controlador que tenga funcionalidad equivalente.	Componente
Servidor web: Parte de un sistema de alojamiento de sitios web más grande que gestiona las solicitudes de los clientes y entrega contenido.	Subsistema
Base de datos SQL: Sirve para la gestión de bases de datos que permite a los usuarios almacenar, recuperar y gestionar información estructurada utilizando el lenguaje SQL. Consiste en software y tiene un conjunto de responsabilidades y objetivos.	Sistema
Middleware: Un middleware es una pieza de software que conecta y media entre dos aplicaciones o componentes, facilitando la comunicación entre ellos. Tiene un rol claro y puede ser reemplazado por otro middleware que tenga funcionalidad equivalente.	Componente
ORM (Object-Relational Mapping): Es una técnica de programación que permite a los desarrolladores interactuar con bases de datos relacionales utilizando objetos y clases en lugar de escribir consultas SQL. Está definido a nivel de lenguaje de programación y puede ser importado e integrado en diferentes aplicaciones	Modulo
Entorno de desarrollo integrado (IDE): Software que proporciona un entorno completo para el desarrollo de aplicaciones, incluyendo herramientas como editores de texto, depuradores y compiladores. Consiste en software y tiene un conjunto de responsabilidades y objetivos.	Sistema
Motor de renderizado: Es una parte de un navegador web o motor de juegos que se encarga de dibujar gráficos en la pantalla.	Subsistema
Procesador de texto: Es una aplicación de software que permite a los usuarios crear, editar y dar formato a documentos de texto. Consiste en software y tiene un conjunto de responsabilidades y objetivos para ayudar a los usuarios a trabajar con documentos de manera eficiente.	Sistema
Gestor de notificaciones: Es un componente de software que se encarga de gestionar las notificaciones en tiempo real en una aplicación, como alertas, mensajes y recordatorios. Está definido a nivel de lenguaje de programación y puede ser importado e integrado en diferentes aplicaciones que requieran un sistema de notificaciones.	Modulo
Gestor de ventanas: Es una parte del sistema operativo o entorno de escritorio que se encarga de organizar y gestionar las ventanas de las aplicaciones en la pantalla. Tiene una interfaz definida y es parte de un sistema mayor, siendo responsable de la interacción del usuario con las ventanas y el manejo de la pantalla.	Subsistema
